Vial ID,Storage container ID,Well coordinate,# of individuals,Recorded by,Original processing date,Identification,...8,...9,...10,...11,Fulcrum - Sorting App,...13,...14,Pinning,...16,...17,Fulcrum - Pinning App,...19,...20
JORN_005.S.20220705.CARSP14.01,D14.2022.CARSP14.JORN.02,B1,2,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_006.S.20220705.CARSP14.01,D14.2022.CARSP14.JORN.02,B2,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_010.E.20220705.CARSP14.01,D14.2022.CARSP14.JORN.02,B3,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_001.S.20220719.CARSP14.01,D14.2022.CARSP14.JORN.02,B4,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_004.S.20220719.CARSP14.01,D14.2022.CARSP14.JORN.02,B5,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_002.W.20220802.CARSP14.01,D14.2022.CARSP14.JORN.02,C1,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_003.W.20220802.CARSP14.01,D14.2022.CARSP14.JORN.02,C2,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_004.E.20220802.CARSP14.01,D14.2022.CARSP14.JORN.02,C3,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_005.E.20220802.CARSP14.01,D14.2022.CARSP14.JORN.02,C4,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_005.S.20220802.CARSP14.01,D14.2022.CARSP14.JORN.02,C5,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_006.E.20220802.CARSP14.01,D14.2022.CARSP14.JORN.02,D1,3,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_006.S.20220802.CARSP14.01,D14.2022.CARSP14.JORN.02,D2,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_006.W.20220802.CARSP14.01,D14.2022.CARSP14.JORN.02,D3,3,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_007.W.20220802.CARSP14.01,D14.2022.CARSP14.JORN.02,D4,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
